case_id,customer_type,case_description,category,priority,assigned_team,status,submission_date,sla_days,resolution_notes
CASE-0191,Individual,Payment issue: bank transfer reference was entered incorrectly.,Payment Issue,Medium,Payments Team,In Progress,2026-05-07,7,Routed to specialist team for review.
CASE-0192,Small Business,Customer provided documents but one attachment cannot be opened.,Missing Documents,Low,Customer Support,New,2026-03-28,14,Escalated due to SLA risk and case complexity.
CASE-0193,Small Business,Case is overdue and may involve a duplicate refund request.,Compliance/Fraud,High,Compliance Team,Escalated,2026-05-28,3,
CASE-0194,Charity,Urgent compliance case: legal review requested for a suspicious claim.,Compliance/Fraud,High,Compliance Team,New,2026-04-21,3,
CASE-0195,Individual,Compliance review requested because the claim may contain a false declaration.,Compliance/Fraud,High,Compliance Team,In Progress,2026-04-03,3,
CASE-0196,Charity,Missing document: customer needs to upload proof for a recent application.,Missing Documents,Low,Customer Support,Escalated,2026-05-25,14,Closed after synthetic validation and customer notification.
CASE-0197,Public Body,"Payment failed during online checkout, but the balance still appears due.",Payment Issue,Medium,Payments Team,New,2026-04-04,7,
CASE-0198,Small Business,Case is overdue and may involve a duplicate refund request.,Compliance/Fraud,High,Compliance Team,New,2026-05-07,3,
CASE-0199,Small Business,Supporting evidence is incomplete and a required form is missing.,Missing Documents,Low,Customer Support,New,2026-03-17,14,
CASE-0200,Agent,General query about how to update account contact details.,General Query,Low,Customer Support,Escalated,2026-04-15,14,Routed to specialist team for review.
CASE-0201,Charity,Compliance review requested because the claim may contain a false declaration.,Compliance/Fraud,High,Compliance Team,In Progress,2026-06-15,3,
CASE-0202,Individual,Supporting evidence is incomplete and a required form is missing.,Missing Documents,Low,Customer Support,In Progress,2026-04-27,14,Initial checks completed; awaiting customer response.
CASE-0203,Agent,Customer provided documents but one attachment cannot be opened.,Missing Documents,Low,Customer Support,Closed,2026-06-25,14,Closed after synthetic review; no real customer data used.
CASE-0204,Public Body,Customer provided documents but one attachment cannot be opened.,Missing Documents,Low,Customer Support,New,2026-05-29,14,
CASE-0205,Agent,Payment issue: bank transfer reference was entered incorrectly.,Payment Issue,Medium,Payments Team,Closed,2026-06-28,7,Closed after synthetic review; no real customer data used.
CASE-0206,Small Business,Payment issue: bank transfer reference was entered incorrectly.,Payment Issue,Medium,Payments Team,Closed,2026-06-25,7,Closed after synthetic review; no real customer data used.
CASE-0207,Small Business,Customer cannot find the upload link for requested evidence.,Missing Documents,Low,Customer Support,Escalated,2026-04-25,14,
CASE-0208,Individual,Payment issue: bank transfer reference was entered incorrectly.,Payment Issue,Medium,Payments Team,Escalated,2026-05-06,7,Initial checks completed; awaiting customer response.
CASE-0209,Individual,Customer cannot find the upload link for requested evidence.,Missing Documents,Low,Customer Support,In Progress,2026-05-17,14,
CASE-0210,Agent,Urgent compliance case: legal review requested for a suspicious claim.,Compliance/Fraud,High,Compliance Team,In Progress,2026-05-19,3,Initial checks completed; awaiting customer response.
CASE-0211,Individual,Failed card payment caused an incorrect charge to appear twice.,Payment Issue,Medium,Payments Team,Closed,2026-03-18,7,Closed after synthetic review; no real customer data used.
CASE-0212,Individual,Compliance review requested because the claim may contain a false declaration.,Compliance/Fraud,High,Compliance Team,In Progress,2026-06-19,3,
CASE-0213,Public Body,Failed card payment caused an incorrect charge to appear twice.,Payment Issue,Medium,Payments Team,In Progress,2026-03-12,7,
CASE-0214,Agent,Compliance review requested because the claim may contain a false declaration.,Compliance/Fraud,High,Compliance Team,New,2026-05-09,3,Routed to specialist team for review.
CASE-0215,Individual,Customer provided documents but one attachment cannot be opened.,Missing Documents,Low,Customer Support,In Progress,2026-03-26,14,Initial checks completed; awaiting customer response.
CASE-0216,Charity,Case is overdue and may involve a duplicate refund request.,Compliance/Fraud,High,Compliance Team,In Progress,2026-05-27,3,
CASE-0217,Public Body,Customer cannot find the upload link for requested evidence.,Missing Documents,Low,Customer Support,New,2026-06-15,14,Closed after synthetic validation and customer notification.
CASE-0218,Individual,Missing document: customer needs to upload proof for a recent application.,Missing Documents,Low,Customer Support,New,2026-04-01,14,Routed to specialist team for review.
CASE-0219,Individual,General question about service hours and expected response times.,General Query,Low,Customer Support,New,2026-05-09,14,Escalated due to SLA risk and case complexity.
CASE-0220,Charity,Compliance review requested because the claim may contain a false declaration.,Compliance/Fraud,High,Compliance Team,Escalated,2026-06-15,3,
